danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,track_name,artist
0.621,0.747,-5.084,0.0337,0.000194,0.426,124.015,0.222,Don’t Wake Me Up,Jonas Blue
0.636,0.936,-2.65,0.0729,0.0,0.415,124.034,0.177,Stay the Night,Sigala
0.733,0.96,-3.597,0.0295,0.00199,0.811,124.01,0.0514,By Your Side (feat. Tom Grennan),Calvin Harris
0.539,0.708,-6.189,0.0976,0.0,0.381,123.039,0.0129,Young Right Now,Robin Schulz
0.75,0.797,-4.826,0.118,0.0,0.523,105.949,0.293,Dancing Feet (feat. DNCE),Kygo
0.705,0.799,-4.776,0.0347,0.417,0.658,122.018,0.0357,Viaje,Farruko
0.686,0.892,-3.186,0.0498,7.11e-06,0.752,126.03,0.0577,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens
0.878,0.875,-4.923,0.0658,3.42e-05,0.84,124.006,0.0507,Clap Your Hands,Kungs
0.821,0.781,-4.465,0.0397,0.0191,0.434,137.017,0.00563,Beat Goes On (Rhythm to the Brain),Campbell
0.601,0.879,-2.673,0.0353,0.0,0.589,124.013,0.0313,Run,Becky Hill
0.773,0.74,-8.169,0.0386,0.00183,0.504,124.014,0.0627,Make Me Feel Good,Belters Only
0.643,0.714,-5.504,0.0486,2.85e-06,0.205,120.027,0.00444,These Nights,Loud Luxury
0.678,0.931,-5.813,0.0867,0.0275,0.346,130.021,0.00159,Danielle (smile on my face),Fred again..
0.534,0.714,-6.347,0.0629,0.0,0.415,125.99,0.00633,Sun Will Shine,Robin Schulz
0.706,0.77,-6.224,0.0653,1.84e-05,0.967,117.075,0.397,Summer In New York,Sofi Tukker
0.8,0.66,-4.903,0.158,0.02,0.634,117.923,0.158,Dandelion,Galantis
0.706,0.914,-5.668,0.0615,0.0,0.299,124.03,0.19,Risk It All,Ella Henderson
0.594,0.64,-6.865,0.033,0.0,0.492,92.871,0.0169,Chasing Stars (feat. James Bay),Alesso
0.679,0.762,-4.253,0.0316,0.23,0.511,105.407,0.00469,More Than A Woman - SG's Paradise Edit,Bee Gees
0.788,0.945,-5.091,0.0599,2.97e-06,0.466,128.036,0.223,Beg For You (feat. Rina Sawayama),Charli XCX
0.596,0.743,-4.149,0.0302,2.37e-06,0.531,125.883,0.0696,Anywhere With You,Afrojack
0.697,0.836,-5.005,0.0437,4.46e-06,0.631,121.977,0.133,Hear Me Say,Jonas Blue
0.662,0.794,-4.239,0.0533,0.0,0.641,104.951,0.171,Call On Me (feat. Georgia Ku),Sam Feldt
0.8,0.771,-6.638,0.123,0.0,0.886,118.991,0.0531,About Damn Time - Purple Disco Machine Remix,Lizzo
0.624,0.966,-3.155,0.041,4.84e-06,0.758,124.984,0.0729,Better (feat. Teddy Swims),MK
0.657,0.816,-4.819,0.168,0.0,0.584,120.092,0.101,Shackles (Praise You),MALARKEY
0.728,0.95,-4.216,0.0977,0.00386,0.812,124.003,0.0055,My Feelings For You - Mark Knight Remix,Avicii
0.648,0.724,-5.189,0.0263,0.0,0.382,125.014,0.0198,Another Life (feat. FLETCHER & Josh Golden),Surf Mesa
0.812,0.796,-10.548,0.0356,0.921,0.961,125.976,0.00826,Tell Me Something Good,Ewan McVicar
0.657,0.653,-8.525,0.0258,0.000142,0.624,111.974,0.0568,Malibu,Virginia To Vegas
0.727,0.822,-4.481,0.0471,0.000175,0.855,118.092,0.0698,Those Eyes,ARTY
0.716,0.853,-3.254,0.03,0.000268,0.593,124.014,0.00812,Heaven,Dimitri Vegas & Like Mike
0.646,0.761,-2.557,0.0385,0.0,0.472,129.916,0.0714,I Found You,Cash Cash
0.69,0.847,-4.565,0.0374,0.041,0.49,124.015,0.0145,Like You Do,D.O.D
0.817,0.876,-7.485,0.046,0.199,0.671,131.022,0.0332,Serotonin Moonbeams,The Blessed Madonna
0.777,0.737,-5.86,0.0351,0.379,0.891,123.993,0.0421,Happy Music,Supershy
0.677,0.732,-5.028,0.031,0.227,0.242,126.018,0.0113,What A Life (feat. Stevie Appleton),John Summit
0.61,0.765,-4.914,0.172,1.05e-06,0.243,125.028,0.175,Antibodies - LP Giobbi Remix,Tensnake
0.688,0.91,-4.496,0.0456,1.07e-05,0.77,119.024,0.00286,Free Yourself,Jessie Ware
0.624,0.94,-3.671,0.163,0.00409,0.882,128.014,0.000983,Time to Groove (feat. Nonô),Majestic
0.569,0.85,-3.914,0.0369,0.0,0.551,122.042,0.0148,Best Is Yet To Come (with Kyle Reynolds),Gryffin
0.6,0.845,-3.695,0.042,0.0,0.378,125.027,0.0238,I Got A Feeling,Felix Jaehn
0.648,0.795,-5.67,0.0433,0.0,0.364,100.032,0.0275,Life's Too Short,Two Friends
0.673,0.839,-6.787,0.0373,0.416,0.24,125.03,0.0177,Better Than This,John Summit
0.687,0.924,-7.324,0.0361,0.228,0.931,126.018,0.0707,Can't Get You out of My Head - Peggy Gou’s Midnight Remix,Kylie Minogue
0.692,0.846,-5.72,0.0559,2.91e-05,0.827,124.007,0.0194,Stop This Flame - Celeste x MK,Celeste
